id,size,zeta_potential,concentration,composition,coating,toxicity,size_nm,zeta_potential_mv,source_sheet,Nanoparticle Category,Toxicity Classification,Nanoparticle Name,Nature of the particle (Organic/Inorganic),particle size (nm),Hydrodynamic size  (nm),Morphology,Polydispersity Index (PDI),Zeta potential (mV),Surface Area. (m2/g),Surface Chemistry,Energy band gap (eV),pH,Temperature,Dosage In vitro (993 missing values),Dosage in vivo (1577 missing values),Cell Viability %,Dissolution rate (mg/L),Necrosis %,Membrane Damage (%),ROS Production,LC50 Value,IC50/EC 50  value,LD50 Value,Exposure Time (in hrs),Target organism/cells,Reference Paper/s,Metabolic activity,Other relevant test,Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
135,80 ± 14.6 nm,,0.04 mg ml–1,Cobalt,NA (Produced by thermal plasma method),Non-toxic,80.0,,Classified Data,Cobalt,Non-toxic,Cobalt and Chromium (CoCr) NPs (CoCr surgical alloy NPs),inorganic,80 ± 14.6 nm,,,,,,NA (Produced by thermal plasma method),,NA (Cells cultured in DMEM F-12 Ham medium),37 °C (in vitro incubator temperature),0.04 mg ml–1,0.12 mg per mouse (intravenously injected),NA (Exposure to conditioned media had no effect on cell survival),NA (NPs are referred to as biopersistent),,"NA (Barrier remained intact, confirmed by unaltered TEER measurements)",NA (Astrocytic changes were found not to be due to oxidative stress),,,,24 h (BeWo barrier exposure); Injection at E9.5 or E12.5 (in vivo),"Human trophoblast cells (BeWo); Human neural progenitor cells (NPCs), derived neurons and astrocytes; Mice (C57Bl/6)",https://doi.org/10.1038/s41565-018-0085-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,12.0 nm,,0.9296875 µg/ml to 29.75 µg/ml,Cobalt,Hyaluronic acid (HA) (stabilizing/capping agent),Non-toxic,12.0,,Classified Data,Cobalt,Non-toxic,Cobalt hyaluronic acid nanostructure (CoHANs),inorganic,12.0 nm,32 nm,"Circular, isotropic, poly-dispersed; uniformly embedded in granular matrix",,,,Hyaluronic acid (HA) (stabilizing/capping agent),,,37 °C,0.9296875 µg/ml to 29.75 µg/ml,,"MDA: Cell survival: 100%, 95%, 90%, 85%, 70%, 65%
 MCV: Cell survival: 100%, 95%, 92%, 88%, 78%, 40%
 HEPG2: Cell survival: 100%, 98%, 95%, 90%, 80%, 45%
 HCT-116: Cell survival: 100%, 80%, 65%, 65%, 65%, 40%
 For concentrations ranging from 0, 0.002975, 0.02975, 0.2975, 2.975, 29.75 µg/mL",,,NA (Qualitatively noted via LDH release),,,HCT 116: 18 µg/ml or 23 µg/ml; MCF7: 24 µg/ml; Hep G2: 28 µg/ml; MDA: 29.75 µM,,72 hours (cytotoxicity); 24 hours (antimicrobial),"Cell lines: MDA, MCF7, HEPG2, HCT 116. Microbes: P. aeruginosa, E. coli, S. aureus, B. subtilis, C. albicans, C. tropicalis",https://doi.org/10.1016/j.ijbiomac.2019.10.097,,Antioxidant activity (DPPH scavenging): 24%–75%; Antimicrobial ZOI: 8–12 mm; MIC: 1.859–29.75 µg/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,12.0 nm,,0.9296875 µg/ml to 29.75 µg/ml,Cobalt,Hyaluronic acid (HA) (stabilizing/capping agent),Non-toxic,12.0,,Classified Data,Cobalt,Non-toxic,Cobalt hyaluronic acid nanostructure (CoHANs),inorganic,12.0 nm,32 nm,"Circular, isotropic, poly-dispersed; uniformly embedded in granular matrix",,,,Hyaluronic acid (HA) (stabilizing/capping agent),,,37 °C,0.9296875 µg/ml to 29.75 µg/ml,,"MDA: Cell survival: 100%, 95%, 90%, 85%, 70%, 65%
 MCV: Cell survival: 100%, 95%, 92%, 88%, 78%, 40%
 HEPG2: Cell survival: 100%, 98%, 95%, 90%, 80%, 45%
 HCT-116: Cell survival: 100%, 80%, 65%, 65%, 65%, 40%
 For concentrations ranging from 0, 0.002975, 0.02975, 0.2975, 2.975, 29.75 µg/mL",,,NA (Qualitatively noted via LDH release),,,HCT 116: 18 µg/ml or 23 µg/ml; MCF7: 24 µg/ml; Hep G2: 28 µg/ml; MDA: 29.75 µM,,72 hours (cytotoxicity); 24 hours (antimicrobial),"Cell lines: MDA, MCF7, HEPG2, HCT 116. Microbes: P. aeruginosa, E. coli, S. aureus, B. subtilis, C. albicans, C. tropicalis",https://doi.org/10.1016/j.ijbiomac.2019.10.097,,Antioxidant activity (DPPH scavenging): 24%–75%; Antimicrobial ZOI: 8–12 mm; MIC: 1.859–29.75 µg/ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,28±18 nm,,25 μg/mL to 100 μg/mL,Cobalt,Bare/Naïve form,Toxic,28.0,,Classified Data,Cobalt,Toxic,Cobalt nanoparticles (Co NPs),inorganic,28±18 nm,,Spherical,,,,Bare/Naïve form,,7.2 (in enzyme buffer),,25 μg/mL to 100 μg/mL,,41% (4 h) and 9% (24 h) fluorescence remaining,24.7±5.3% (culture media); 9.3±4.1% (PBS),,,,,79 μg/mL,,4 hours and 24 hours,Human lung epithelial cells (A549 cell line),10.1016/j.jksus.2023.102987,,"A. TBARS (nmol/mg protein)
 
 Control: ~2.2
 
 Co NPs: ~4.2
 
 Co–Fe NPs: ~5.4
 
 B. LDH release (IU/L)
 
 Control: ~38 IU/L
 
 Co NPs: ~47 IU/L
 
 Co–Fe NPs: ~56 IU/L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,28±18 nm,,25 μg/mL to 100 μg/mL,Cobalt,Bare/Naïve form,Toxic,28.0,,Classified Data,Cobalt,Toxic,Cobalt nanoparticles (Co NPs),inorganic,28±18 nm,,Spherical,,,,Bare/Naïve form,,7.2 (in enzyme buffer),,25 μg/mL to 100 μg/mL,,41% (4 h) and 9% (24 h) fluorescence remaining,24.7±5.3% (culture media); 9.3±4.1% (PBS),,,,,79 μg/mL,,4 hours and 24 hours,Human lung epithelial cells (A549 cell line),10.1016/j.jksus.2023.102987,,"A. TBARS (nmol/mg protein)
 
 Control: ~2.2
 
 Co NPs: ~4.2
 
 Co–Fe NPs: ~5.4
 
 B. LDH release (IU/L)
 
 Control: ~38 IU/L
 
 Co NPs: ~47 IU/L
 
 Co–Fe NPs: ~56 IU/L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2–60 nm (Average: 28 nm),,5–50 μg/ml,Cobalt,"90% Cobalt, 10% Cobalt (II, III) oxide",Non-toxic,2.0,,Classified Data,Cobalt,Non-toxic,Cobalt nanoparticles (Co-NPs),inorganic,2–60 nm (Average: 28 nm),,,,,30–70 m²/g,"90% Cobalt, 10% Cobalt (II, III) oxide",,,37 °C,5–50 μg/ml,,"U937 (3h): ~35% (10 μg/ml), ~6.7% (20 μg/ml); MDMs (3h): ~71% (5 μg/ml), ~52% (10 μg/ml), ~17% (20 μg/ml); AMs (3h): ~37% (5 μg/ml), ~20% (10 μg/ml), ~19% (20 μg/ml)","6h ion release: <100 μM (10 μg/ml dosage), ~200 μM (50 μg/ml dosage), ~230 μM (100 μg/ml dosage)",,,U937 (3h): ~400% of control (50 μg/ml); MDMs (3h): ~270% of control (20 μg/ml); AMs (3h): ~200% of control (20 μg/ml),,,,Up to 6 hours (cytotoxicity); 24 hours (gene/protein expression),"Human (U937 cell line, primary monocyte-derived macrophages, and pulmonary alveolar macrophages)",10.3109/17435390.2014.991430,,HIF-1α stabilization: ~275% of control (10 μg/ml dosage); TNF-α release: ~11-fold control (10 μg/ml dosage); BNIP3 gene upregulation: ~6.4-fold (10 μg/ml dosage); HO1 gene upregulation: ~11-fold (10 μg/ml dosage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2–60 nm (Average: 28 nm),,5–50 μg/ml,Cobalt,"90% Cobalt, 10% Cobalt (II, III) oxide",Non-toxic,2.0,,Classified Data,Cobalt,Non-toxic,Cobalt nanoparticles (Co-NPs),inorganic,2–60 nm (Average: 28 nm),,,,,30–70 m²/g,"90% Cobalt, 10% Cobalt (II, III) oxide",,,37 °C,5–50 μg/ml,,"U937 (3h): ~35% (10 μg/ml), ~6.7% (20 μg/ml); MDMs (3h): ~71% (5 μg/ml), ~52% (10 μg/ml), ~17% (20 μg/ml); AMs (3h): ~37% (5 μg/ml), ~20% (10 μg/ml), ~19% (20 μg/ml)","6h ion release: <100 μM (10 μg/ml dosage), ~200 μM (50 μg/ml dosage), ~230 μM (100 μg/ml dosage)",,,U937 (3h): ~400% of control (50 μg/ml); MDMs (3h): ~270% of control (20 μg/ml); AMs (3h): ~200% of control (20 μg/ml),,,,Up to 6 hours (cytotoxicity); 24 hours (gene/protein expression),"Human (U937 cell line, primary monocyte-derived macrophages, and pulmonary alveolar macrophages)",10.3109/17435390.2014.991430,,HIF-1α stabilization: ~275% of control (10 μg/ml dosage); TNF-α release: ~11-fold control (10 μg/ml dosage); BNIP3 gene upregulation: ~6.4-fold (10 μg/ml dosage); HO1 gene upregulation: ~11-fold (10 μg/ml dosage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,< 100 nm,,1 μM,Cobalt,,Non-toxic,100.0,,Classified Data,Cobalt,Non-toxic,Cobalt nanoparticles (Co-nano),inorganic,< 100 nm,~500 nm (range 200–950 nm),Characterised by SEM (specific shape not stated),,,,,,,37 °C,1 μM,,80% Viability (at IC20),NA (gradual dissolution noted),,,,,NA (IC20 = 1 μM provided),,72 h,BALB3T3 clone A31-1-1 mouse fibroblasts,10.1016/j.toxlet.2007.03.005,,Colony-forming efficiency assay (CFE): IC20 ≈ 1 μM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,< 100 nm,,1 μM,Cobalt,,Non-toxic,100.0,,Classified Data,Cobalt,Non-toxic,Cobalt nanoparticles (Co-nano),inorganic,< 100 nm,~500 nm (range 200–950 nm),Characterised by SEM (specific shape not stated),,,,,,,37 °C,1 μM,,80% Viability (at IC20),NA (gradual dissolution noted),,,,,NA (IC20 = 1 μM provided),,72 h,BALB3T3 clone A31-1-1 mouse fibroblasts,10.1016/j.toxlet.2007.03.005,,Colony-forming efficiency assay (CFE): IC20 ≈ 1 μM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,3.4 ± 0.7 nm (measured in 1% Triton X-100),9.7 ± 5.1 mV (in 1% Triton X-100); 14 ± 4.2 mV (in DMEM),0.1 to 100 µM,Cobalt,,Toxic,3.4,9.7,Classified Data,Cobalt,Toxic,Cobalt nanoparticles (CoNP),inorganic,3.4 ± 0.7 nm (measured in 1% Triton X-100),100–400 nm (mean size of 200 nm in DMEM culture medium),Rod-like or ovoid aggregates,,9.7 ± 5.1 mV (in 1% Triton X-100); 14 ± 4.2 mV (in DMEM),14.4 ± 2.6 m²/g,,,7.2,37°C,0.1 to 100 µM,,35% Colony Forming Efficiency (CFE) at 20 µM; 51% CFE at 10 µM,100 % in 4 hr,,,46.4% at 1 µM increasing to 164% at 100 µM (relative to H₂O₂ positive control),,19.5 ± 3.1 µM (4 h); 10 ± 2.7 µM (12 h); 10 ± 2.7 µM (24 h); 9.9 ± 1.9 µM (72 h),,"4, 12, 24, and 72 h",Balb/3T3 mouse fibroblasts (clone A31-1-1),10.3109/17435390.2013.796538,,Morphological transformation assay: 14 Type III foci (total) at 10 µM (Transformation frequency 5.09 × 10⁻⁴); Glutathione (GSH) depletion: 44% decrease at 100 µM; Lipid peroxidation: Dose-dependent increase in TBA-RS-related chromogens; Intracellular Co at IC50: 885 fg Co/cell (4 h) and 280 fg Co/cell (72 h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,3.4 ± 0.7 nm (measured in 1% Triton X-100),9.7 ± 5.1 mV (in 1% Triton X-100); 14 ± 4.2 mV (in DMEM),0.1 to 100 µM,Cobalt,,Toxic,3.4,9.7,Classified Data,Cobalt,Toxic,Cobalt nanoparticles (CoNP),inorganic,3.4 ± 0.7 nm (measured in 1% Triton X-100),100–400 nm (mean size of 200 nm in DMEM culture medium),Rod-like or ovoid aggregates,,9.7 ± 5.1 mV (in 1% Triton X-100); 14 ± 4.2 mV (in DMEM),14.4 ± 2.6 m²/g,,,7.2,37°C,0.1 to 100 µM,,35% Colony Forming Efficiency (CFE) at 20 µM; 51% CFE at 10 µM,100 % in 4 hr,,,46.4% at 1 µM increasing to 164% at 100 µM (relative to H₂O₂ positive control),,19.5 ± 3.1 µM (4 h); 10 ± 2.7 µM (12 h); 10 ± 2.7 µM (24 h); 9.9 ± 1.9 µM (72 h),,"4, 12, 24, and 72 h",Balb/3T3 mouse fibroblasts (clone A31-1-1),10.3109/17435390.2013.796538,,Morphological transformation assay: 14 Type III foci (total) at 10 µM (Transformation frequency 5.09 × 10⁻⁴); Glutathione (GSH) depletion: 44% decrease at 100 µM; Lipid peroxidation: Dose-dependent increase in TBA-RS-related chromogens; Intracellular Co at IC50: 885 fg Co/cell (4 h) and 280 fg Co/cell (72 h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,~20 nm (Crystallite size by XRD); 3–5 nm (Average particle size by HRTEM),,"5, 10, 25, 50, 100 µg/mL",Cobalt,"Crocins, crocetin, safranal, and picrocrocin (from saffron extract)",Toxic,20.0,,Classified Data,Cobalt,Toxic,Cobalt sulfide (CoS) nanoparticles,inorganic,~20 nm (Crystallite size by XRD); 3–5 nm (Average particle size by HRTEM),,Spherical (Nanosphere),,,,"Crocins, crocetin, safranal, and picrocrocin (from saffron extract)",,7.4 (Hemolysis study),37 °C,"5, 10, 25, 50, 100 µg/mL",,MCF-7: 30.53–91.95%; HeLa: 31.34–94.9%; A549: 42.82–95.76% (Viability),,,,Qualitatively studied.,,MCF-7: 58.30 ± 0.872 µg/mL; HeLa: 61.06 ± 1.073 µg/mL; A549: 82.77 ± 1.692 µg/mL,,24–48 h,"Human cancer cell lines: HeLa, A549, MCF-7; Pathogens: S. aureus, E. coli, S. pneumonia, P. aeruginosa, C. albicans",10.1016/j.inoche.2024.113417,,Antibacterial (Zone of Inhibition): 12–21 mm; Antifungal (Zone of Inhibition): 14–18 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,~20 nm (Crystallite size by XRD); 3–5 nm (Average particle size by HRTEM),,"5, 10, 25, 50, 100 µg/mL",Cobalt,"Crocins, crocetin, safranal, and picrocrocin (from saffron extract)",Toxic,20.0,,Classified Data,Cobalt,Toxic,Cobalt sulfide (CoS) nanoparticles,inorganic,~20 nm (Crystallite size by XRD); 3–5 nm (Average particle size by HRTEM),,Spherical (Nanosphere),,,,"Crocins, crocetin, safranal, and picrocrocin (from saffron extract)",,7.4 (Hemolysis study),37 °C,"5, 10, 25, 50, 100 µg/mL",,MCF-7: 30.53–91.95%; HeLa: 31.34–94.9%; A549: 42.82–95.76% (Viability),,,,Qualitatively studied.,,MCF-7: 58.30 ± 0.872 µg/mL; HeLa: 61.06 ± 1.073 µg/mL; A549: 82.77 ± 1.692 µg/mL,,24–48 h,"Human cancer cell lines: HeLa, A549, MCF-7; Pathogens: S. aureus, E. coli, S. pneumonia, P. aeruginosa, C. albicans",10.1016/j.inoche.2024.113417,,Antibacterial (Zone of Inhibition): 12–21 mm; Antifungal (Zone of Inhibition): 14–18 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,11.5,"23 (DI), 10.7 (Algal)",0.01–100 mg/l,Cobalt,,Non-toxic,11.5,23.0,Classified Data,Cobalt,Non-toxic,Co₃O₄,inorganic,11.5,"99 (DI), 916 (Algal)",Crystalline,,"23 (DI), 10.7 (Algal)",85,,,"5.9–6.9 (DI), 8.0 (Algal)",20–25,0.01–100 mg/l,,"EC50: 1.2 mg/l (Algae), >100 mg/l (Protozoa)",0.18% (10mg/l in Algal),,,Potent generator,,,,"30 min, 24 h, 72 h","P. subcapitata, T. thermophila, V. fischeri, E. coli, S. aureus",10.1039/C5EN00057B,Luminescence inhibition (EC50: >100 mg/l),"MBC: 100 mg/l (E. coli), >100 mg/l (S. aureus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,6.1,,"6.25, 12.5, 25, 50, 100",Composite,Capping agent: PEG,Toxic,6.1,,Classified Data,Composite,Toxic,Al0.05Zn0.95Fe2O4,inorganic,6.1,,Spherical,,,,Capping agent: PEG,1.77,,37 ◦C,"6.25, 12.5, 25, 50, 100",,24.63 (MCF-7); 54.51 (L929),,,,9938.58 (Control: 470.78),18.3234 (MCF-7); 107.026 (L929),239.06 (DPPH),,24 h,MCF-7 cell line; L929 fibroblasts; E. coli; P. aeruginosa,10.1016/j.chphi.2023.100209,,E. coli: 12 mm; P. aeruginosa: 13 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,20.95,,"6.25, 12.5, 25, 50, 100",Composite,Capping agent: PEG,Non-toxic,20.95,,Classified Data,Composite,Non-toxic,Al0.08Zn0.92Fe2O4,inorganic,20.95,,Spherical,,,,Capping agent: PEG,1.6,,37 ◦C,"6.25, 12.5, 25, 50, 100",,59.03 (MCF-7),,,,,118.295 (MCF-7),,,24 h,MCF-7 cell line,10.1016/j.chphi.2023.100209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,7.74,,"6.25, 12.5, 25, 50, 100",Composite,Capping agent: PEG,Toxic,7.74,,Classified Data,Composite,Toxic,Ni0.05Zn0.95Fe2O4,inorganic,7.74,,Spherical,,,,Capping agent: PEG,1.59,,37 ◦C,"6.25, 12.5, 25, 50, 100",,45.87 (MCF-7); 66.72 (L929),,,,,43.2586 (MCF-7); 153.07 (L929),221.74 (DPPH),,24 h,MCF-7 cell line; L929 fibroblasts; E. coli,10.1016/j.chphi.2023.100209,,E. coli: 17 mm; P. aeruginosa: Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,11.6,,"6.25, 12.5, 25, 50, 100",Composite,Capping agent: PEG,Toxic,11.6,,Classified Data,Composite,Toxic,Ni0.08Zn0.92Fe2O4,inorganic,11.6,,Spherical,,,,Capping agent: PEG,1.54,,37 ◦C,"6.25, 12.5, 25, 50, 100",,43.39 (MCF-7),,,,,37.1848 (MCF-7),,,24 h,MCF-7 cell line,10.1016/j.chphi.2023.100209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,11.98 nm (XRD),,,Copper/Copper Oxide,"Green synthesis using Arachis hypogaea shell extract (phytochemicals: tannins, proteins, flavonoids, alkaloids, terpenoid, phenol),,",Toxic,11.98,,Classified Data,Copper/Copper Oxide,Toxic,10 mol % Copper-doped nickel oxide nanoparticles (10 mol % Cu-doped NiO NPs),inorganic,11.98 nm (XRD),,Cubic shape with soft edges,,,,"Green synthesis using Arachis hypogaea shell extract (phytochemicals: tannins, proteins, flavonoids, alkaloids, terpenoid, phenol),,","4.38 eV,",7.2 to 7.4,"37 ◦C,",,,,,,,,,,,"24 h,","S. aureus; E. coli; A. niger; C. albicans,","10.1016/j.inoche.2023.111193,",,"Antibacterial (Zone of Inhibition): E. coli 11±0.02 mm, S. aureus 13±0.01 mm; Antifungal: C. albicans 15±0.01 mm, A. niger 7±0.02 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,18.69 nm (XRD),,,Copper/Copper Oxide,"Green synthesis using Arachis hypogaea shell extract,,",Toxic,18.69,,Classified Data,Copper/Copper Oxide,Toxic,30 mol % Copper-doped nickel oxide nanoparticles (30 mol % Cu-doped NiO NPs),inorganic,18.69 nm (XRD),,Distorted spherical shape,,,,"Green synthesis using Arachis hypogaea shell extract,,",4.30 eV,7.2 to 7.4,"37 ◦C,",,,,,,,,,,,"24 h,","S. aureus; E. coli; A. niger; C. albicans,","10.1016/j.inoche.2023.111193,",,"Antibacterial (Zone of Inhibition): E. coli 12±0.03 mm, S. aureus 13±0.01 mm; Antifungal: C. albicans 16±0.03 mm, A. niger 9±0.05 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"19.29 nm (XRD); 4.94 nm (TEM),",,"15.6, 31.2, 62.5, 125, 250, 500 µg/mL (Cytotoxicity); 100 µg/mL (Wound healing),,",Copper/Copper Oxide,"Green synthesis using Arachis hypogaea shell extract,,",Toxic,19.29,,Classified Data,Copper/Copper Oxide,Toxic,50 mol % Copper-doped nickel oxide nanoparticles (50 mol % Cu-doped NiO NPs),inorganic,"19.29 nm (XRD); 4.94 nm (TEM),",,"Distorted spherical shape,",,,,"Green synthesis using Arachis hypogaea shell extract,,",4.20 eV,7.2 to 7.4,"37 ◦C,","15.6, 31.2, 62.5, 125, 250, 500 µg/mL (Cytotoxicity); 100 µg/mL (Wound healing),,",,"15.6 µg/mL: 96.0%; 31.2 µg/mL: 82.6%; 62.5 µg/mL: 68.5%; 125 µg/mL: 38.5%; 250 µg/mL: 16.5%; 500 µg/mL: 8.6%,",,,,,,,,"24 h (MTT/Antibacterial/Antifungal); 12 h & 24 h (Wound healing),,","VERO cell line; S. aureus; E. coli; A. niger; C. albicans,,,","10.1016/j.inoche.2023.111193,","Measured via MTT assay (Represented by % Cell Viability relative to control),","Antibacterial (Zone of Inhibition): E. coli 14±0.05 mm, S. aureus 15±0.03 mm; Antifungal: C. albicans 14±0.02 mm, A. niger 6±0.03 mm; DPPH Antioxidant inhibition (at 500 µg): 28.5%,; Anti-inflammatory (BSA denaturation at 400 µg/ml): 89.14%,; Wound Closure %: 41.9% (12 h), 46.6% (24 h),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
